user_id,department_id,role,name,email,phone,employee_id,jurisdiction,created_at
70fc361f-7ca4-41ee-8aaf-1ae1f569661e,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,inspector,User 1 Singh,user1@niriksha.gov.in,9896233790,EMP46048,"{""state"": ""UP"", ""districts"": [""Lucknow""]}",2025-11-12T13:03:25.394749
5914045c-2e86-428b-b808-11bfde1f17b8,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,inspector,User 2 Reddy,user2@niriksha.gov.in,9193349856,EMP87397,"{""state"": ""KA"", ""districts"": [""Pune""]}",2026-03-04T13:03:25.394826
db315998-b0a1-4002-b239-bcc36b029298,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,inspector,User 3 Kumar,user3@niriksha.gov.in,9349817734,EMP76237,"{""state"": ""DL"", ""districts"": [""Pune""]}",2024-09-06T13:03:25.394856
7c81c57e-625a-4229-95a5-618d368a1b51,17c8b7df-21cc-4394-b4da-f0a1a25a0349,inspector,User 4 Reddy,user4@niriksha.gov.in,9550455977,EMP38893,"{""state"": ""KA"", ""districts"": [""Delhi""]}",2025-06-23T13:03:25.394878
1a5837bc-4983-4ee5-9458-568d7ef97138,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,inspector,User 5 Kumar,user5@niriksha.gov.in,9849621470,EMP65392,"{""state"": ""TN"", ""districts"": [""Chennai""]}",2025-10-26T13:03:25.394898
d2ae64bb-4a71-4067-a2e7-2f3d379e0d85,17c8b7df-21cc-4394-b4da-f0a1a25a0349,inspector,User 6 Sharma,user6@niriksha.gov.in,9209747451,EMP22156,"{""state"": ""KA"", ""districts"": [""Pune""]}",2025-04-01T13:03:25.394916
d3e5a753-51d7-47a1-9d5d-a6258b6ab65b,d8ef4900-75f2-4b9f-9815-b7dc608e0862,inspector,User 7 Reddy,user7@niriksha.gov.in,9384027113,EMP15695,"{""state"": ""KA"", ""districts"": [""Delhi""]}",2025-11-27T13:03:25.394964
ec3ebcfb-4766-4514-b0d4-9efc41d1dc26,718472ee-2192-4e7b-9d38-124525a57358,inspector,User 8 Singh,user8@niriksha.gov.in,9692749116,EMP48427,"{""state"": ""DL"", ""districts"": [""Chennai""]}",2024-08-20T13:03:25.394989
f9beb740-6ee2-4c78-aedf-689e0b88a547,17c8b7df-21cc-4394-b4da-f0a1a25a0349,inspector,User 9 Singh,user9@niriksha.gov.in,9149203558,EMP96673,"{""state"": ""UP"", ""districts"": [""Chennai""]}",2026-01-12T13:03:25.395008
8cacadf0-5dbb-4381-b356-41e7b41a91b1,17c8b7df-21cc-4394-b4da-f0a1a25a0349,inspector,User 10 Singh,user10@niriksha.gov.in,9508157429,EMP46434,"{""state"": ""KA"", ""districts"": [""Chennai""]}",2025-10-19T13:03:25.395031
bb9ce84b-f877-47bf-8d22-6debbe1d72fe,d8ef4900-75f2-4b9f-9815-b7dc608e0862,inspector,User 11 Sharma,user11@niriksha.gov.in,9324956459,EMP97841,"{""state"": ""TN"", ""districts"": [""Pune""]}",2024-07-19T13:03:25.395048
7e6aee0c-6777-4bf5-acc4-00a6f2af5e1a,17c8b7df-21cc-4394-b4da-f0a1a25a0349,inspector,User 12 Reddy,user12@niriksha.gov.in,9882893941,EMP42087,"{""state"": ""UP"", ""districts"": [""Bengaluru""]}",2025-03-11T13:03:25.395066
0e024c2e-ffa1-4905-92ff-ec9e0eb0c52b,d8ef4900-75f2-4b9f-9815-b7dc608e0862,inspector,User 13 Reddy,user13@niriksha.gov.in,9335809993,EMP99733,"{""state"": ""TN"", ""districts"": [""Pune""]}",2025-08-12T13:03:25.395088
99ee70b0-9e94-4f57-98f3-ef2a7be688c4,a338e2f8-957f-46aa-8d6e-5d00ffabcfda,inspector,User 14 Sharma,user14@niriksha.gov.in,9530747414,EMP45093,"{""state"": ""MH"", ""districts"": [""Lucknow""]}",2024-08-31T13:03:25.395104
d907b05f-e6b3-47bf-8757-6a9d12816e8a,d8ef4900-75f2-4b9f-9815-b7dc608e0862,inspector,User 15 Kumar,user15@niriksha.gov.in,9803771909,EMP75435,"{""state"": ""KA"", ""districts"": [""Bengaluru""]}",2025-11-08T13:03:25.395120
d10fc4ab-42ac-450c-a2cc-faa2a00424b9,d8ef4900-75f2-4b9f-9815-b7dc608e0862,inspector,User 16 Kumar,user16@niriksha.gov.in,9364814270,EMP83579,"{""state"": ""DL"", ""districts"": [""Chennai""]}",2024-02-29T13:03:25.395136
d982c1d8-7aee-4540-9376-4ba889e5dbc5,24353874-868b-46b4-8ac7-58527ba25067,inspector,User 17 Patel,user17@niriksha.gov.in,9726563708,EMP62350,"{""state"": ""TN"", ""districts"": [""Lucknow""]}",2025-11-13T13:03:25.395152
92a4eb72-94aa-4690-bfb0-2a9c035c1ade,24353874-868b-46b4-8ac7-58527ba25067,inspector,User 18 Patel,user18@niriksha.gov.in,9197613238,EMP16175,"{""state"": ""MH"", ""districts"": [""Lucknow""]}",2024-06-30T13:03:25.395171
